,ID,Дата,Цена,Район,Залог,Комиссия,Предоплата,Срок аренды,Общая площадь,Год постройки
1278,291692662,26 08 04:19,45000,Василеостровский,40000,0.7,1 месяц,от года,41.8,2004
1279,292755711,20 08 13:22,45000,Адмиралтейский,25000,0,1 месяц,несколько месяцев,30,1756
1280,292899465,01 10 12:03,44000,Центральный,20000,0,1 месяц,несколько месяцев,26,1880
1281,292723514,30 09 18:03,45000,Невский,45000,1.0,1 месяц,от года,72,2012
1282,292766095,30 09 16:37,45000,Центральный,45000,0.5,1 месяц,несколько месяцев,40,1877
1283,292574207,30 09 08:04,45000,Василеостровский,45000,0.6,1 месяц,от года,34,2020
1284,292969614,29 08 16:53,49000,Выборгский,49000,0.5,,от года,75,2014
1285,293055515,28 08 01:38,49000,Василеостровский,25000,0.59,1 месяц,от года,36,1965
1286,292946716,25 08 18:44,45000,Невский,45000,0.5,1 месяц,от года,58,1877
1287,282323296,27 08 17:55,49900,Выборгский,49900,0,1 месяц,от года,41,2011
1288,292934661,27 08 13:13,49990,Фрунзенский,50000,0.5,1 месяц,от года,40,2020
1289,293170596,01 10 11:44,50000,Выборгский,50000,0.6,1 месяц,от года,56,2003
1290,293014663,30 09 18:18,40000,Василеостровский,40000,1.0,1 месяц,от года,47,2008
1291,292497561,30 09 17:07,45000,Центральный,45000,0.5,1 месяц,несколько месяцев,39,1884
1292,292086745,30 09 15:40,45000,Фрунзенский,45000,0.5,1 месяц,от года,50,1979
1293,291487142,30 09 08:03,45000,Московский,45000,0.5,1 месяц,от года,76,1957
